Analyte,EP-001,EP-002,EP-003,EP-004,EP-005,EP-006,EP-007,EP-008,EP-009,EP-010,EP-011,EP-012,EP-013,EP-014,EP-015,EP-016,EP-017,EP-018,EP-019,EP-020,EP-021,EP-022,EP-023,EP-024,EP-025,EP-026,EP-027
1.2.3.4.6.7.8HpCDD.pg_g,14,7.2,62,21,8.2,5.3,25,36,18,17,13,68,81,1400,58,380,45,960,95,640,2000,230,310,43,270,12,12
1.2.3.4.6.7.8HpCDF.pg_g,7.1,2.9,16,9.3,3.4,1.9,6.2,5.7,3.3,3.7,2.6,20,21,180,17,50,6.5,260,23,180,580,86,87,39,150,4.6,5.3
1.2.3.4.7.8.9HpCDF.pg_g,0.61,0.26,1.1,0.51,0.25,0.16,0.47,0.37,0.3,0,0.21,1.4,1.4,16,0.81,3.8,0.44,13,2.2,11,37,5.8,7,6.2,4.2,0,0.42
1.2.3.4.7.8HxCDD.pg_g,0.44,0.24,1.9,0.45,0.28,0.3,0.85,0.68,0.55,1.3,0.46,1.2,1.7,32,1.4,9.4,0.63,23,2.9,12,44,11,6.8,2.8,5.2,0,0.43
1.2.3.4.7.8HxCDF.pg_g,0.8,0.26,3.7,1.1,0.64,0.71,2.3,0.85,1.1,0,0.91,3.4,2.8,13,2.9,7.9,0.84,28,6.4,14,49,22,12,21,8,0,2.3
1.2.3.6.7.8HxCDD.pg_g,0.7,0.4,2.5,0.93,0.25,0.31,1.2,0.97,0.67,0.82,0.45,3.1,3,55,2.5,18,1.3,39,4.1,24,100,22,14,4.8,15,0,0.71
1.2.3.6.7.8HxCDF.pg_g,1.1,0.37,1.8,0.63,0.43,0.43,2,0.64,0.69,0,0.65,2.4,2.9,23,2.2,7.7,0.77,27,4.3,16,38,14,15,12,7.7,0,3.6
1.2.3.7.8.9HxCDD.pg_g,0.89,0.55,2.7,1.2,0.46,0.5,1.6,1.6,1.1,1.2,0.69,4.3,4.8,77,3,26,1.8,58,5.6,28,89,24,14,2.7,23,0,0.95
1.2.3.7.8.9HxCDF.pg_g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0
1.2.3.7.8PeCDD.pg_g,0.29,0.1,0.92,0.47,0.25,0.28,0.92,0.45,0.49,0,0.41,0,1.5,17,1.1,9.3,0.55,13,1.2,7.6,20,7.3,7.6,2.5,5.6,0,8
1.2.3.7.8PeCDF.pg_g,0.29,0,0,0.22,0.24,0.26,0.66,0.26,0.32,0,0.27,0,0.69,1.9,0.94,1.7,0.23,3.7,,2.2,5.7,8,0,7.4,1.4,0,0.72
2.3.4.6.7.8HxCDF.pg_g,0.41,0.13,1.7,0.7,0.29,0.34,1.2,0.45,0.44,0,0.41,0,1.9,8.8,1.8,5.5,0.58,18,2.7,10,24,12,12,8.2,5.9,0,2
2.3.4.7.8PeCDF.pg_g,0.47,0.096,1.7,0.4,0.34,0.38,1.5,0.36,0.59,0,0,1.8,1.2,3.7,1.7,3.8,0.35,7.8,3.4,4.8,6.8,11,7.6,9.6,3.7,0,2.1
